id,latitude,longitude,propertyType,priceChangePercentTotal,energyClass,price,rooms,size,lotSize,floor,buildYear,city,zipCode,street,squaremeterPrice,basementSize
1824258,55.6582,12.5996,3,0,C,2695000,2,58,0,3,1912,København S,2300,Lysefjordsgade 3  3. tv.,46465,0
1824598,55.59275,12.65851,3,0,D,2895000,3,78,0,1,1973,Dragør,2791,"Lodsgården 1C, 1 th",37115,0
1824505,55.66051,12.5194,3,0,D,2975000,3,60,0,,1912,Valby,2500,"Trekronergade 10, ST. TH",49583,0
1824509,55.68604,12.50754,3,0,C,3695000,3,82,2350,1,1953,Frederiksberg,2000,"Moltkesvej 65, 1. th.",45060,0
1824511,55.71182,12.55981,9,0,D,3700000,3,81,122,,1908,København Ø,2100,"Lyngbyvej 79, st..",45679,81
1824408,55.66629,12.55612,3,0,C,3850000,2,59,0,4,1906,København V,1718,"Sommerstedgade 26, 4. th.",65254,0
1824410,55.69684,12.59943,3,0,C,4095000,2,76,0,,1997,København Ø,2100,"Langelinie Allé 9, st.. 2.",53881,0
1824489,55.66149,12.58508,3,0,B,4750000,3,95,0,1,2006,København S,2300,"Tom Kristensens Vej 44, 1. tv.",50000,0
1824519,55.63514,12.57425,3,0,B,4899000,4,105,0,2,2007,København S,2300,"C.F. Møllers Allé 18, 2. tv.",46657,0
1824183,55.66571,12.58303,3,0,B,5198000,3,90,0,5,2005,København S,2300,"Myggenæsgade 9, 5.  nr. 1",57755,0
1824161,55.6615,12.58526,3,0,B,5850000,4,110,0,3,2006,København S,2300,"Tom Kristensens Vej 42, 3. tv.",53181,0
1824613,55.69442,12.57744,3,0,C,6295000,4,89,0,5,1885,København Ø,2100,"Zinnsgade 8, 5.",70730,0
1824176,55.66533,12.58415,3,0,B,7198000,3,126,0,6,2006,København S,2300,"Myggenæsgade 3, 6.  nr. 2",57126,0
1824597,55.58304,12.63378,1,0,B,7995000,6,228,470,,2011,Dragør,2791,Bachersmindevej 5E,35065,0
1824487,55.67338,12.59293,3,0,E,8350000,4,112,0,1,1938,København K,1415,"Overgaden Oven Vandet 44, 1. tv.",74553,0
1824177,55.7125,12.57794,3,0,C,9995000,5,151,0,5,1938,København Ø,2100,"Østerbrogade 220, 5. tv.",66192,0
1824340,55.65599,12.56123,3,-3,I,10195000,4,126,0,2,2019,København SV,2450,"Andrei Sakharovs Vej 3, 2. mf.",80912,0
1824611,55.65851,12.63398,3,0,J,11995000,4,155,0,8,2014,København S,2300,"Amager Strandvej 162C, 8. tv.",77387,0
1824179,55.67709,12.58987,3,0,C,24000000,8,265,0,1,1900,København K,1058,"Havnegade 35, 1. tv.",90566,0
1824154,55.68564,12.596,1,0,-,32500000,10,296,133,,1874,København K,1253,Toldbodgade 87,109797,80
1823881,55.72242,12.53948,3,0,D,1595000,1,48,0,,1973,København NV,2400,"Banebrinken 99, st.. 68.",33229,0
1824049,55.63748,12.59021,3,0,D,1795000,1,47,0,,1968,København S,2300,"Kongelundsvej 71A, st 2",38191,0
1824063,55.69844,12.54634,3,0,C,1850000,1,32,0,2,1974,København N,2200,"Dagmarsgade 32, 2 35",57812,0
1823890,55.64825,12.61265,3,0,C,2250000,2,59,0,2,1968,København S,2300,"Hyacintgården 1, 2. tv.",38135,0
